	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	19259380	2020-09-29	0.08710000000000001	5736598926
1	Blackrock Inc.	15475928	2020-09-29	0.07	4609659914
2	State Farm Mutual Automobile Insurance Co	14016300	2020-09-29	0.0634	4174895118
3	State Street Corporation	9680026	2020-09-29	0.0438	2883292544
4	Bank of America Corporation	8574121	2020-09-29	0.0388	2553887681
5	JP Morgan Chase & Company	5989893	2020-09-29	0.0271	1784149528
6	Capital International Investors	5913903	2020-09-29	0.0268	1761515147
7	Wells Fargo & Company	4289804	2020-09-29	0.0194	1277761019
8	Franklin Resources, Inc.	4250152	2020-09-29	0.0192	1265950274
9	FMR, LLC	3930400	2020-09-29	0.0178	1170708944
