Date	Dividends	Stock Splits
1986-02-24	0.3	0.0
1986-05-23	0.3	0.0
1986-07-15	0.0	2.0
1986-08-26	0.15	0.0
1986-11-24	0.16	0.0
1987-02-23	0.16	0.0
1987-05-26	0.16	0.0
1987-08-26	0.16	0.0
1987-11-24	0.17	0.0
1988-02-24	0.17	0.0
1988-05-25	0.17	0.0
1988-08-26	0.17	0.0
1988-11-25	0.19	0.0
1989-02-23	0.19	0.0
1989-05-25	0.19	0.0
1989-08-28	0.19	0.0
1989-11-27	0.21	0.0
1990-02-23	0.21	0.0
1990-05-25	0.21	0.0
1990-08-27	0.21	0.0
1990-11-26	0.23	0.0
1991-02-25	0.23	0.0
1991-05-24	0.23	0.0
1991-08-26	0.23	0.0
1991-11-22	0.25	0.0
1992-02-24	0.25	0.0
1992-05-26	0.25	0.0
1992-08-26	0.25	0.0
1992-11-24	0.28	0.0
1993-02-23	0.28	0.0
1993-05-25	0.28	0.0
1993-08-26	0.28	0.0
1993-11-24	0.32	0.0
1994-02-23	0.32	0.0
1994-05-25	0.32	0.0
1994-08-26	0.32	0.0
1994-11-25	0.36	0.0
1995-02-23	0.36	0.0
1995-02-24	0.36	0.0
1995-05-25	0.36	0.0
1995-08-24	0.36	0.0
1995-08-30	0.36	0.0
1995-11-29	0.4	0.0
1996-02-28	0.4	0.0
1996-05-22	0.0	2.0
1996-05-29	0.2	0.0
1996-08-28	0.2	0.0
1996-11-27	0.2	0.0
1997-02-26	0.225	0.0
1997-05-28	0.225	0.0
1997-08-28	0.225	0.0
1997-11-26	0.25	0.0
1998-02-26	0.25	0.0
1998-05-28	0.25	0.0
1998-08-28	0.25	0.0
1998-11-27	0.25	0.0
1999-02-25	0.345	0.0
1999-05-27	0.345	0.0
1999-08-30	0.345	0.0
1999-11-29	0.345	0.0
2000-02-28	0.37	0.0
2000-05-30	0.37	0.0
2000-08-30	0.37	0.0
2000-11-29	0.37	0.0
2001-02-27	0.4	0.0
2001-05-30	0.4	0.0
2001-08-29	0.4	0.0
2001-11-28	0.4	0.0
2002-02-26	0.43	0.0
2002-05-29	0.43	0.0
2002-08-28	0.43	0.0
2002-11-26	0.43	0.0
2003-02-26	0.45	0.0
2003-05-28	0.45	0.0
2003-08-27	0.45	0.0
2003-11-26	0.45	0.0
2004-02-26	0.5	0.0
2004-05-26	0.5	0.0
2004-08-30	0.5	0.0
2004-11-29	0.5	0.0
2005-02-25	0.55	0.0
2005-05-27	0.55	0.0
2005-08-30	0.55	0.0
2005-11-29	0.55	0.0
2006-02-27	0.61	0.0
2006-05-30	0.61	0.0
2006-08-30	0.61	0.0
2006-11-29	0.61	0.0
2007-02-27	0.73	0.0
2007-05-30	0.73	0.0
2007-08-29	0.73	0.0
2007-11-28	0.73	0.0
2008-02-27	0.77	0.0
2008-05-29	0.77	0.0
2008-08-28	0.77	0.0
2008-11-26	0.54	0.0
2009-02-26	0.1	0.0
2009-05-28	0.1	0.0
2009-08-28	0.01	0.0
2009-11-27	0.01	0.0
2010-02-25	0.01	0.0
2010-05-27	0.01	0.0
2010-08-30	0.01	0.0
2010-11-26	0.01	0.0
2011-02-24	0.01	0.0
2011-05-27	0.01	0.0
2011-08-30	0.05	0.0
2011-11-29	0.05	0.0
2012-02-28	0.05	0.0
2012-05-30	0.05	0.0
2012-08-29	0.05	0.0
2012-11-28	0.05	0.0
2013-02-27	0.05	0.0
2013-05-29	0.1	0.0
2013-08-28	0.1	0.0
2013-11-26	0.1	0.0
2014-02-26	0.1	0.0
2014-05-28	0.2	0.0
2014-08-27	0.2	0.0
2014-11-25	0.2	0.0
2015-02-25	0.2	0.0
2015-05-27	0.24	0.0
2015-08-27	0.24	0.0
2015-11-25	0.24	0.0
2016-02-24	0.24	0.0
2016-05-26	0.24	0.0
2016-05-27	0.24	0.0
2016-08-29	0.26	0.0
2016-11-28	0.26	0.0
2017-02-24	0.26	0.0
2017-05-26	0.26	0.0
2017-08-29	0.4	0.0
2017-11-29	0.4	0.0
2018-02-27	0.4	0.0
2018-05-30	0.4	0.0
2018-08-30	0.5	0.0
2018-11-29	0.5	0.0
2019-02-27	0.5	0.0
2019-05-30	0.5	0.0
2019-08-29	0.56	0.0
2019-11-07	0.56	0.0
