	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	50020585	2020-06-29	0.08070000000000001	6707260242
1	Blackrock Inc.	42611292	2020-06-29	0.0688	5713748144
2	Price (T.Rowe) Associates Inc	41286228	2020-06-29	0.0666	5536070312
3	State Street Corporation	25577933	2020-06-29	0.041299999999999996	3429745035
4	Massachusetts Financial Services Co.	24891534	2020-06-29	0.04019999999999999	3337705794
5	FMR, LLC	18225747	2020-06-29	0.0294	2443890415
6	Artisan Partners Limited Partnership	9849314	2020-06-29	0.0159	1320694514
7	Geode Capital Management, LLC	9137515	2020-06-29	0.0147	1225249386
8	Ameriprise Financial, Inc.	9112559	2020-06-29	0.0147	1221903036
9	Wellington Management Company, LLP	8946014	2020-06-29	0.0144	1199571017
