	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	10016672	2020-06-29	0.09820000000000001	275358313
1	Blackrock Inc.	9075783	2020-06-29	0.0889	249493274
2	State Street Corporation	5453942	2020-06-29	0.053399999999999996	149928865
3	Victory Capital Management Inc.	4077393	2020-06-29	0.04	112087533
4	Citadel Advisors LLC	2895721	2020-06-29	0.028399999999999998	79603370
5	Dimensional Fund Advisors LP	2710840	2020-06-29	0.026600000000000002	74520991
6	State Farm Mutual Automobile Insurance Co	2417705	2020-06-29	0.023700000000000002	66462710
7	Key Group Holdings (Cayman), Ltd.	2198138	2020-06-29	0.0215	60426813
8	Diamond Hill Capital Management Inc	2176068	2020-06-29	0.0213	59820109
9	Encompass Capital Advisors, LLC	1953492	2020-06-29	0.0191	53701495
