	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	45361184	2020-09-29	0.0786	7265954453
1	Blackrock Inc.	38855440	2020-09-29	0.0674	6223864379
2	State Street Corporation	30597320	2020-09-29	0.053	4901078717
3	Newport Trust Co	10969884	2020-09-29	0.019	1757156019
4	State Farm Mutual Automobile Insurance Co	10245700	2020-09-29	0.0178	1641156226
5	Flossbach von Storch AG	8705643	2020-09-29	0.0151	1394469895
6	Geode Capital Management, LLC	8377739	2020-09-29	0.014499999999999999	1341946233
7	Massachusetts Financial Services Co.	7799795	2020-09-29	0.013500000000000002	1249371163
8	Northern Trust Corporation	7390067	2020-09-29	0.0128	1183740932
9	Charles Schwab Investment Management, Inc.	7090861	2020-09-29	0.0123	1135814114
