	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	231747508	2020-06-29	0.08800000000000001	32590652050
1	Blackrock Inc.	193714044	2020-06-29	0.0736	27242006007
2	State Street Corporation	152571802	2020-06-29	0.0579	21456172515
3	Geode Capital Management, LLC	39573737	2020-06-29	0.015	5565254634
4	Bank of America Corporation	34678931	2020-06-29	0.0132	4876898066
5	State Farm Mutual Automobile Insurance Co	34574792	2020-06-29	0.0131	4862252998
6	Northern Trust Corporation	33972792	2020-06-29	0.0129	4777593738
7	Bank Of New York Mellon Corporation	30077959	2020-06-29	0.011399999999999999	4229863374
8	Massachusetts Financial Services Co.	29585917	2020-06-29	0.011200000000000002	4160667507
9	Wellington Management Company, LLP	28769995	2020-06-29	0.0109	4045924396
