	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	32783886	2020-09-29	0.0653	103227605364
1	Blackrock Inc.	27661214	2020-09-29	0.055099999999999996	87097694358
2	State Street Corporation	16344982	2020-09-29	0.0326	51465935172
3	FMR, LLC	15880342	2020-09-29	0.0316	50002909265
4	Price (T.Rowe) Associates Inc	15700902	2020-09-29	0.0313	49437901154
5	Geode Capital Management, LLC	6398830	2020-09-29	0.0128	20148187985
6	Northern Trust Corporation	5016332	2020-09-29	0.01	15795075058
7	Morgan Stanley	4875392	2020-09-29	0.0097	15351293052
8	Norges Bank Investment Management	4367787	2019-12-30	0.0087	8070971530
9	Bank Of New York Mellon Corporation	4287954	2020-09-29	0.0085	13501609398
