	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	26045722	2020-06-29	0.0824	4554094491
1	Briar Hall Management LLC	25824147	2020-06-29	0.0817	4515352102
2	Blackrock Inc.	22446860	2020-06-29	0.071	3924833471
3	State Farm Mutual Automobile Insurance Co	21813000	2020-06-29	0.069	3814003050
4	State Street Corporation	13245513	2020-06-29	0.04190000000000001	2315977948
5	Northern Trust Corporation	12943877	2020-06-29	0.0409	2263236893
6	Massachusetts Financial Services Co.	7695673	2020-06-29	0.024300000000000002	1345588424
7	Wells Fargo & Company	7480021	2020-06-29	0.023700000000000002	1307881671
8	Capital Research Global Investors	6108596	2020-06-29	0.019299999999999998	1068088010
9	Geode Capital Management, LLC	4717335	2020-06-29	0.0149	824826024
