Date	Dividends	Stock Splits
1972-08-09	0.04225	0.0
1972-11-09	0.04225	0.0
1973-02-08	0.04375	0.0
1973-05-09	0.04375	0.0
1973-08-09	0.04375	0.0
1973-11-09	0.04375	0.0
1974-02-11	0.04625	0.0
1974-05-09	0.04625	0.0
1974-08-09	0.04625	0.0
1974-11-08	0.04625	0.0
1975-02-10	0.04625	0.0
1975-05-09	0.04625	0.0
1975-08-12	0.04625	0.0
1975-11-10	0.05	0.0
1976-02-09	0.05	0.0
1976-05-10	0.05625	0.0
1976-08-10	0.05625	0.0
1976-11-08	0.0625	0.0
1977-02-09	0.0625	0.0
1977-05-09	0.06875	0.0
1977-08-09	0.06875	0.0
1977-11-07	0.075	0.0
1978-02-08	0.075	0.0
1978-05-09	0.08125	0.0
1978-08-09	0.08125	0.0
1978-11-09	0.08125	0.0
1979-02-08	0.08125	0.0
1979-05-09	0.0875	0.0
1979-08-09	0.0875	0.0
1979-11-08	0.0875	0.0
1980-02-11	0.0875	0.0
1980-05-09	0.09375	0.0
1980-08-13	0.09375	0.0
1980-11-10	0.09375	0.0
1981-02-09	0.09375	0.0
1981-05-11	0.09375	0.0
1981-08-11	0.09375	0.0
1981-11-09	0.09375	0.0
1982-02-08	0.09375	0.0
1982-05-11	0.09375	0.0
1982-08-10	0.0625	0.0
1982-11-08	0.0625	0.0
1983-02-09	0.0625	0.0
1983-05-10	0.0625	0.0
1983-08-09	0.0625	0.0
1983-11-07	0.0625	0.0
1984-02-08	0.0625	0.0
1984-05-09	0.0625	0.0
1984-08-09	0.0625	0.0
1984-11-08	0.0625	0.0
1985-02-11	0.0625	0.0
1985-05-09	0.0625	0.0
1985-08-09	0.0625	0.0
1985-11-15	0.0625	0.0
1986-02-18	0.5	0.0
1986-05-09	0.5	0.0
1986-08-15	0.5	0.0
1986-11-17	0.5	0.0
1987-02-17	0.5	0.0
1987-05-14	0.5	0.0
1987-08-14	0.5	0.0
1987-11-16	0.5	0.0
1988-02-16	0.5	0.0
1988-04-13	0.0025	0.0
1988-05-13	0.5	0.0
1988-08-12	0.2504	0.0
1988-11-14	0.2504	0.0
1989-02-13	0.2504	0.0
1989-05-12	0.2504	0.0
1989-05-18	0.0	1.0
1989-08-11	0.2504	0.0
1989-11-13	0.2504	0.0
1990-02-12	0.2504	0.0
1990-05-14	0.2504	0.0
1990-08-10	0.2504	0.0
1990-11-13	0.2504	0.0
1991-02-12	0.3504	0.0
1991-05-10	0.3504	0.0
1991-08-09	0.3504	0.0
1991-08-28	0.375	0.0
1991-11-12	0.3504	0.0
1992-02-14	0.3504	0.0
1992-05-15	0.3504	0.0
1992-08-14	0.4	0.0
1992-11-13	0.4	0.0
1993-02-09	0.4	0.0
1993-05-14	0.4	0.0
1993-08-13	0.4504	0.0
1993-11-15	0.4504	0.0
1994-02-09	0.4504	0.0
1994-05-11	0.4504	0.0
1994-08-12	0.5	0.0
1994-11-09	0.5	0.0
1995-02-08	0.5	0.0
1995-05-11	0.5	0.0
1995-08-16	0.5504	0.0
1995-11-14	0.5504	0.0
1996-02-12	0.58	0.0
1996-05-09	0.0725	0.0
1996-05-13	0.58	0.0
1996-06-04	0.0	2.0
1996-08-14	0.29	0.0
1996-11-14	0.29	0.0
1997-02-13	0.3152	0.0
1997-05-14	0.3152	0.0
1997-08-14	0.3152	0.0
1997-11-13	0.3152	0.0
1998-02-12	0.34	0.0
1998-05-14	0.34	0.0
1998-08-13	0.34	0.0
1998-09-14	0.0	2.0
