	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	135308543	2020-06-29	0.04769999999999999	16207257280
1	Blackrock Inc.	88427054	2020-06-29	0.031200000000000002	10591792528
2	State Street Corporation	69761343	2020-06-29	0.0246	8356013664
3	Geode Capital Management, LLC	21322670	2020-06-29	0.0075	2554029412
4	Bank of America Corporation	21162626	2020-06-29	0.0075	2534859342
5	FMR, LLC	19306287	2020-06-29	0.0068000000000000005	2312507056
6	Northern Trust Corporation	16749038	2020-06-29	0.0059	2006199771
7	State Farm Mutual Automobile Insurance Co	14698850	2020-06-29	0.0052	1760628253
8	Wells Fargo & Company	12113199	2020-06-29	0.0043	1450918976
9	Bank Of New York Mellon Corporation	11718609	2020-06-29	0.0040999999999999995	1403654986
