	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	38849222	2020-09-29	0.081	19052823945
1	Blackrock Inc.	37012598	2020-09-29	0.07719999999999999	18152088437
2	FMR, LLC	30271325	2020-09-29	0.06309999999999999	14845965919
3	State Street Corporation	19783974	2020-09-29	0.0412	9702654368
4	Primecap Management Company	9479580	2020-09-29	0.019799999999999998	4649070419
5	Bank Of New York Mellon Corporation	8634176	2020-09-29	0.018000000000000002	4234458935
6	Geode Capital Management, LLC	7887198	2020-09-29	0.016399999999999998	3868118515
7	Jennison Associates LLC	6932155	2020-09-29	0.014499999999999999	3399736776
8	Janus Henderson Group PLC	6755875	2020-09-29	0.0141	3313283776
9	Massachusetts Financial Services Co.	6208841	2020-09-29	0.0129	3045001891
